method,metric,n,paired_difference_mean,paired_difference_se,paired_difference_ci95,ci_excludes_zero
sarsa_lambda,tail_interval_average_reward,30,0.24146111111111115,0.11351792542279211,0.22249513382867253,True
sarsa_lambda,tail_exact_policy_gain,30,0.26643895797082096,0.11799321317605833,0.23126669782507434,True
replay_q_p10,tail_interval_average_reward,30,0.05975555555555557,0.15314578104267418,0.3001657308436414,False
replay_q_p10,tail_exact_policy_gain,30,0.028884749965339247,0.1351507106429188,0.26489539286012087,False
dyna_latest_p10,tail_interval_average_reward,30,0.13811111111111116,0.11851939970138577,0.2322980234147161,False
dyna_latest_p10,tail_exact_policy_gain,30,0.22152812190941987,0.11269513746956505,0.2208824694403475,True
dyna_empirical_p5,tail_interval_average_reward,30,0.3020444444444445,0.11765134269371104,0.23059663167967362,True
dyna_empirical_p5,tail_exact_policy_gain,30,0.3756442600629039,0.11222622883078481,0.21996340850833823,True
dyna_empirical_p10,tail_interval_average_reward,30,0.31016111111111117,0.12056887600986345,0.23631499697933236,True
dyna_empirical_p10,tail_exact_policy_gain,30,0.4626926423613099,0.11900200722908799,0.23324393416901246,True
dyna_oracle_p10,tail_interval_average_reward,30,0.31350000000000006,0.11875086878757275,0.2327517028236426,True
dyna_oracle_p10,tail_exact_policy_gain,30,0.34405873178645136,0.1280505854874612,0.25097914755542394,True
